geo,month,hicp_i15,hicp_2021_100
FR,2025-10,124.58,115.69823236231929
FR,2025-11,124.33,115.46605578429248
FR,2025-12,124.43,115.55892641550321
HR,2020-01,103.12,97.45156717593323
HR,2020-02,102.65,97.00740274058907
HR,2020-03,102.68,97.03575366199402
HR,2020-04,102.71,97.06410458339896
HR,2020-05,102.58,96.9412505906442
HR,2020-06,103.14,97.47046779020319
HR,2020-07,103.48,97.79177823279257
HR,2020-08,103.27,97.59332178295794
HR,2020-09,103.18,97.50826901874312
HR,2020-10,103.6,97.90518191841234
HR,2020-11,103.36,97.67837454717278
HR,2020-12,102.96,97.30036226177351
HR,2021-01,103.08,97.41376594739329
HR,2021-02,103.32,97.64057331863285
HR,2021-03,104.34,98.60450464640101
HR,2021-04,104.9,99.13372184596
HR,2021-05,105.01,99.2376752244448
HR,2021-06,105.4,99.6062372027091
HR,2021-07,106.3,100.45676484485746
HR,2021-08,106.51,100.65522129469208
HR,2021-09,106.8,100.92928020160656
HR,2021-10,107.65,101.73255630808002
HR,2021-11,108.18,102.23342258623407
HR,2021-12,108.31,102.35627657898883
HR,2022-01,108.76,102.78154040006302
HR,2022-02,109.8,103.76437234210113
HR,2022-03,111.93,105.77728776185226
HR,2022-04,114.94,108.62183020948181
HR,2022-05,116.27,109.8787210584344
HR,2022-06,118.14,111.64592849267603
HR,2022-07,119.75,113.1674279414081
HR,2022-08,119.9,113.30918254843283
HR,2022-09,120.21,113.60214206961726
HR,2022-10,121.37,114.69837769727518
HR,2022-11,122.19,115.47330288234367
HR,2022-12,122.03,115.32209796818398
HR,2023-01,122.34,115.61505748936843
HR,2023-02,122.68,115.9363679319578
HR,2023-03,123.73,116.9286501811309
HR,2023-04,125.16,118.28004410143329
HR,2023-05,125.88,118.960466215152
HR,2023-06,127.91,120.87887856355333
HR,2023-07,129.36,122.24917309812571
HR,2023-08,130.0,122.85399275476453
HR,2023-09,129.15,122.05071664829109
HR,2023-10,129.52,122.4003780122854
HR,2023-11,128.95,121.86171050559142
HR,2023-12,128.56,121.49314852732715
HR,2024-01,128.19,121.14348716333281
HR,2024-02,128.57,121.50259883446213
HR,2024-03,129.74,122.60828476925501
HR,2024-04,131.06,123.8557253110726
HR,2024-05,131.31,124.09198298944717
HR,2024-06,132.34,125.0653646243503
HR,2024-07,133.69,126.34115608757286
HR,2024-08,133.84,126.48291069459758
HR,2024-09,133.11,125.7930382737439
HR,2024-10,134.13,126.75696960151205
HR,2024-11,134.1,126.7286186801071
HR,2024-12,134.35,126.96487635848166
HR,2025-01,134.66,127.25783587966608
HR,2025-02,134.68,127.27673649393607
HR,2025-03,135.28,127.84375492203498
HR,2025-04,136.26,128.76988502126318
HR,2025-05,136.99,129.45975744211688
HR,2025-06,138.1,130.50874153409987
HR,2025-07,139.77,132.08694282564184
HR,2025-08,140.06,132.3610017325563
HR,2025-09,139.25,131.5955268546228
HR,2025-10,139.5,131.83178453299732
HR,2025-11,139.88,132.19089620412663
HR,2025-12,139.41,131.7467317687825
HU,2020-01,111.92,94.01618458264498
HU,2020-02,112.22,94.26819365497158
HU,2020-03,112.48,94.48660151765463
HU,2020-04,111.95,94.04138548987764
HU,2020-05,112.45,94.46140061042198
HU,2020-06,112.92,94.85621482373365
HU,2020-07,114.25,95.9734550443816
HU,2020-08,114.24,95.9650547419707
HU,2020-09,113.7,95.51143841178282
HU,2020-10,113.91,95.68784476241144
HU,2020-11,113.72,95.5282390166046
HU,2020-12,114.08,95.83064990339652
HU,2021-01,115.12,96.70428135412875
HU,2021-02,115.94,97.39310615182146
HU,2021-03,116.83,98.14073306639038
HU,2021-04,117.75,98.91356088819198
HU,2021-05,118.4,99.45958054489962
HU,2021-06,118.93,99.90479657267663
HU,2021-07,119.59,100.45921653179515
HU,2021-08,119.86,100.68602469688908
HU,2021-09,120.01,100.81202923305239
HU,2021-10,121.38,101.96287066334386
HU,2021-11,122.2,102.65169546103661
HU,2021-12,122.51,102.91210483577409
HU,2022-01,124.26,104.38215775767927
HU,2022-02,125.64,105.54139949038166
HU,2022-03,126.9,106.59983759415339
HU,2022-04,129.03,108.38910200767226
HU,2022-05,131.24,110.24556884047827
HU,2022-06,133.9,112.48004928177416
HU,2022-07,137.14,115.20174726290145
HU,2022-08,142.19,119.44389998039928
HU,2022-09,144.82,121.65317951446251
HU,2022-10,147.91,124.24887295942652
HU,2022-11,150.48,126.40775067902443
HU,2022-12,153.14,128.6422311203203
HU,2023-01,156.81,131.7251421051158
HU,2023-02,158.08,132.79198051129842
HU,2023-03,159.42,133.91762103435724
HU,2023-04,160.57,134.8836558116092
HU,2023-05,159.99,134.39643827177778
HU,2023-06,160.55,134.86685520678745
HU,2023-07,161.12,135.345672444208
