country,month,category,n_tenders,est_total_eur,est_median_eur,est_total_eur_real,est_median_eur_real,n_awards,awd_total_eur,awd_median_eur,awd_total_eur_real,awd_median_eur_real,value_missing_share,group,treat_date,treat_month,treat_month_alt,treated,rel_month,post_eforms,month_2023_10
BE,2023-03,other,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-19.0,0,0
BE,2023-04,cyber_broad,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-18.0,0,0
BE,2023-04,cyber_strict,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-18.0,0,0
BE,2023-04,ict_generic,45.0,,,,,20.0,2835024900.72,3679371.385,2540813832.8374176,3297536.3668869156,0.8153846153846154,early,2024-10-18,2024-10,2024-11,0,-18.0,0,0
BE,2023-04,other,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-18.0,0,0
BE,2023-05,cyber_broad,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-17.0,0,0
BE,2023-05,cyber_strict,0.0,0.0,,0.0,,1.0,735537.19,735537.19,657833.0336497611,657833.0336497611,0.0,early,2024-10-18,2024-10,2024-11,0,-17.0,0,0
BE,2023-05,ict_generic,47.0,,,,,26.0,25790494.24,480144.0,23065916.0350898,429420.27731967013,0.7397260273972602,early,2024-10-18,2024-10,2024-11,0,-17.0,0,0
BE,2023-05,other,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-17.0,0,0
BE,2023-06,cyber_broad,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-16.0,0,0
BE,2023-06,cyber_strict,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-16.0,0,0
BE,2023-06,ict_generic,45.0,,,,,13.0,13053418.73,750000.0,11685646.250284543,671412.9737959771,0.7758620689655172,early,2024-10-18,2024-10,2024-11,0,-16.0,0,0
BE,2023-06,other,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-16.0,0,0
BE,2023-07,cyber_broad,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-15.0,0,0
BE,2023-07,cyber_strict,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-15.0,0,0
BE,2023-07,ict_generic,48.0,,,,,34.0,758570548.4499999,1460000.0,683136450.4471425,1314814.0534730619,0.6585365853658537,early,2024-10-18,2024-10,2024-11,0,-15.0,0,0
